ResponseID,taskIndex,taskIdentifier,isMin,selectedValue,selectedIndex,timeLeft,timeTaken,startTime,endTime,qTaskIndex,qSelectedIndex
R_2pSMUztxRhkjQa6,0,K,true,12,10,176,4856,1673052996469,1673053001325,42,83
R_2pSMUztxRhkjQa6,1,C,true,11,7,171,4880,1673053001754,1673053006634,34,80
R_2pSMUztxRhkjQa6,2,G,true,14,18,165,5536,1673053007054,1673053012590,38,91
R_2pSMUztxRhkjQa6,3,B,false,75,20,163,1310,1673053012996,1673053014306,33,93
R_2pSMUztxRhkjQa6,4,A,false,59,15,162,1299,1673053014712,1673053016011,32,88
R_2pSMUztxRhkjQa6,5,E,false,40,13,159,1931,1673053016421,1673053018352,36,86
R_2pSMUztxRhkjQa6,6,I,false,64,15,157,1763,1673053018758,1673053020521,40,88
R_2pSMUztxRhkjQa6,7,F,false,98,27,154,2478,1673053020927,1673053023405,37,100
R_2pSMUztxRhkjQa6,8,H,true,11,6,151,2786,1673053023821,1673053026607,39,79
R_2pSMUztxRhkjQa6,9,D,false,90,22,149,1595,1673053027011,1673053028606,35,95
R_2pSMUztxRhkjQa6,10,L,false,14,31,146,3187,1673053029018,1673053032205,43,104